,Unnamed: 0,C_Neigh,N_Neigh,Neigh_Lat,Neigh_Long,Venue,Venue_Lat,Venue_Long,Venue_Category
58,58,01,El Raval,41.38081,2.171593,Dulcinea,41.38247196648243,2.173602576779712,Café
59,59,01,El Raval,41.38081,2.171593,Pizza Circus,41.37790546295147,2.1729111671447754,Pizza Place
60,60,01,El Raval,41.38081,2.171593,ArtiSa Barcelona,41.379746999999995,2.174871,Coffee Shop
61,61,01,El Raval,41.38081,2.171593,Casa Leopoldo,41.37900046603397,2.1694474480495898,Tapas Restaurant
62,62,01,El Raval,41.38081,2.171593,Bar Lobo,41.38325302798727,2.170433675626059,Tapas Restaurant
63,63,01,El Raval,41.38081,2.171593,L'Arc de Triomf,41.38112402443637,2.1733259440672965,Historic Site
64,64,01,El Raval,41.38081,2.171593,ALE-HOP,41.38165528980723,2.1748107535226024,Gift Shop
65,65,01,El Raval,41.38081,2.171593,Be Chocolat,41.382597251818865,2.1747248202957707,Dessert Shop
66,66,01,El Raval,41.38081,2.171593,Xurrería Manuel San Román,41.38224110661688,2.1750853482750383,Snack Place
67,67,01,El Raval,41.38081,2.171593,Wok to Walk,41.37923075678845,2.1722243947558035,Noodle House
68,68,01,El Raval,41.38081,2.171593,Real Madrid Official Store,41.382648880059314,2.171989384498411,Accessories Store
69,69,01,El Raval,41.38081,2.171593,Mannà Gelats,41.38307898657057,2.174487680308488,Ice Cream Shop
70,70,01,El Raval,41.38081,2.171593,Ramblero,41.38190804972585,2.1720636980118178,Tapas Restaurant
71,71,01,El Raval,41.38081,2.171593,La Cure Gourmande,41.380882890928454,2.1748781057200537,Bakery
72,72,01,El Raval,41.38081,2.171593,Teddys - Libanés,41.380993,2.168007,Fast Food Restaurant
73,73,01,El Raval,41.38081,2.171593,Beer'linale,41.38275664831948,2.171188400789112,Brewery
74,74,01,El Raval,41.38081,2.171593,Pastelería La Estrella,41.378141352305285,2.1733100585689997,Pie Shop
75,75,01,El Raval,41.38081,2.171593,Hotel Barceló Raval,41.37902535933394,2.1697293427413,Hotel
76,76,01,El Raval,41.38081,2.171593,Madame Ramen,41.3794699100902,2.170652679176229,Ramen Restaurant
77,77,01,El Raval,41.38081,2.171593,Farmacia de la Estrella,41.3806640478255,2.1745940364006144,Pharmacy
78,78,01,El Raval,41.38081,2.171593,Hotel España,41.37989936939415,2.172995531824541,Hotel
79,79,01,El Raval,41.38081,2.171593,Plaça del Pi (Plaza del Pino),41.38249035285744,2.174128355772205,Plaza
80,80,01,El Raval,41.38081,2.171593,Nike Store,41.38361909275254,2.1716833859682083,Sporting Goods Shop
81,81,01,El Raval,41.38081,2.171593,Rosa del Raval,41.381895885237604,2.1686339095886877,Mexican Restaurant
82,82,01,El Raval,41.38081,2.171593,Giovanni,41.382411525642226,2.173923394700292,Ice Cream Shop
83,83,01,El Raval,41.38081,2.171593,Suculent,41.378212,2.170341,Mediterranean Restaurant
84,84,01,El Raval,41.38081,2.171593,Nunoya,41.38282287454848,2.1742713112764562,Fabric Shop
85,85,01,El Raval,41.38081,2.171593,Ramblas 2,41.38039181276278,2.17405823597212,Boarding House
86,86,01,El Raval,41.38081,2.171593,33/45,41.38105850000668,2.167399262040874,Cocktail Bar
87,87,01,El Raval,41.38081,2.171593,La Central del Raval,41.383585960801156,2.1689486932103805,Bookstore
88,88,01,El Raval,41.38081,2.171593,Bun Bo,41.381749859625906,2.1687532986079634,Vietnamese Restaurant
89,89,01,El Raval,41.38081,2.171593,Barcelona Duck Store,41.38305757224352,2.174407719275142,Baby Store
90,90,01,El Raval,41.38081,2.171593,Tiger,41.38355224265953,2.172907771317749,Gift Shop
91,91,01,El Raval,41.38081,2.171593,Granja La Pallaresa,41.3829452701923,2.172828391338975,Café
92,92,01,El Raval,41.38081,2.171593,Hotel 1898 Terraza,41.383409562762985,2.1709538883861925,Hotel Bar
93,93,01,El Raval,41.38081,2.171593,Bar Marsella,41.37822144643335,2.171194553375244,Bar
94,94,01,El Raval,41.38081,2.171593,El Magraner Boig,41.3794018763453,2.170760201258505,Greek Restaurant
95,95,01,El Raval,41.38081,2.171593,Nou Pipa Club,41.38015657844433,2.1750225214092063,Speakeasy
96,96,01,El Raval,41.38081,2.171593,Plaça de Sant Josep Oriol,41.38241870173545,2.174109607226597,Plaza
97,97,01,El Raval,41.38081,2.171593,Hotel Petit Palace Boquería Garden,41.38121683799184,2.1741082848904245,Hotel
98,98,01,El Raval,41.38081,2.171593,Golfo de Bizkaia,41.383176,2.174016,Tapas Restaurant
99,99,01,El Raval,41.38081,2.171593,Notariat uno,41.382756,2.1693540000000002,Wine Shop
100,100,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Barrio Gótico,41.38366049614543,2.1772899008766218,Neighborhood
101,101,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Gelaaati! di Marco,41.383185515637,2.1773687184560084,Ice Cream Shop
102,102,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Plaça de Sant Jaume,41.382690314891704,2.177010192961751,Plaza
103,103,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Dux,41.38441199783403,2.1800458431243896,Cocktail Bar
104,104,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Plaça del Rei,41.38407983897008,2.177496471719847,Plaza
